id_detalle,id_transaccion,id_producto,cantidad,subtotal
1,1001,34,2,288754.26
2,1002,3,2,322930.6
3,1002,31,2,631039.5
4,1003,59,3,1214757.9
5,1003,63,1,211246.74
6,1004,67,3,596037.36
7,1005,44,3,384113.88
8,1005,66,3,1305837.84
9,1005,15,1,165734.73
10,1005,92,2,194333.46
11,1006,67,2,397358.24
12,1007,42,3,734979.99
13,1007,20,3,1343868.51
14,1007,99,1,458733.25
15,1007,68,1,277980.14
16,1008,32,2,690929.8
17,1008,8,3,136469.37
18,1008,5,3,302503.5
19,1009,42,3,734979.99
20,1009,91,2,614905.38
21,1009,34,1,144377.13
22,1009,94,3,1188869.82
23,1010,1,2,522610.8
24,1010,55,2,460362.82
25,1010,30,3,303733.86
26,1011,11,2,808621.84
27,1011,44,3,384113.88
28,1011,15,1,165734.73
29,1012,76,2,977218.7
30,1012,65,2,822461.1
31,1013,87,3,1394804.16
32,1013,25,1,242575.79
33,1013,76,2,977218.7
34,1013,47,3,989007.27
35,1014,9,2,504889.2
36,1014,37,1,242701.23
37,1014,88,2,217473.48
38,1014,58,1,499448.01
39,1015,34,1,144377.13
40,1015,36,2,712105.94
41,1016,82,3,379251.33
42,1017,52,2,842235.6
43,1017,66,2,870558.56
44,1017,80,1,137404.27
45,1018,10,2,460119.82
46,1019,88,1,108736.74
47,1019,37,1,242701.23
48,1020,10,1,230059.91
49,1020,52,2,842235.6
50,1021,47,3,989007.27
51,1021,47,1,329669.09
52,1021,56,2,455395.2
53,1022,48,1,140053.17
54,1023,40,1,236923.45
55,1023,30,3,303733.86
56,1023,67,2,397358.24
57,1023,28,1,262987.26
58,1024,82,2,252834.22
59,1024,28,2,525974.52
60,1024,1,3,783916.2
61,1024,9,2,504889.2
62,1025,77,2,516782.14
63,1025,25,1,242575.79
64,1025,49,3,1302523.92
65,1026,29,3,775139.46
66,1026,79,3,419379.21
67,1027,22,3,1041083.85
68,1027,69,3,657445.44
69,1028,68,3,833940.42
70,1028,89,2,714277.78
71,1028,85,3,197867.4
72,1028,3,2,322930.6
73,1029,93,1,668142.7
74,1029,8,3,136469.37
75,1029,5,2,201669.0
76,1029,78,3,1076976.57
77,1030,87,2,929869.44
78,1030,16,1,311606.04
79,1030,15,1,165734.73
80,1030,57,1,435781.16
81,1031,16,2,623212.08
82,1031,26,2,1123055.72
83,1032,41,1,297401.61
84,1032,49,3,1302523.92
85,1032,95,2,1117130.02
86,1033,20,1,447956.17
87,1033,95,2,1117130.02
88,1033,30,3,303733.86
89,1034,40,2,473846.9
90,1035,91,3,922358.07
91,1036,52,1,421117.8
92,1037,61,1,628712.8
93,1037,87,1,464934.72
94,1037,33,1,150712.59
95,1037,86,1,567643.44
96,1038,37,2,485402.46
97,1039,34,3,433131.39
98,1039,73,3,79507.17
99,1039,12,3,1340443.92
100,1039,55,3,690544.23
101,1040,72,3,2004011.94
102,1040,14,2,457068.66
103,1040,63,2,422493.48
104,1041,84,1,134197.19
105,1042,84,3,402591.57
106,1042,51,1,83705.53
107,1043,92,1,97166.73
108,1043,15,3,497204.19
109,1044,54,1,82660.62
110,1044,95,3,1675695.03
111,1044,98,2,178309.62
112,1044,12,2,893629.28
113,1045,26,1,561527.86
114,1045,12,3,1340443.92
115,1045,88,3,326210.22
116,1046,10,3,690179.73
117,1047,69,1,219148.48
118,1047,52,1,421117.8
119,1047,43,3,1253513.25
120,1047,84,1,134197.19
121,1048,63,2,422493.48
122,1048,89,3,1071416.67
123,1048,53,2,844690.16
124,1048,57,3,1307343.48
125,1049,74,2,451884.8
126,1050,70,3,1102622.94
127,1050,16,2,623212.08
128,1051,76,2,977218.7
129,1051,23,3,1295067.9
130,1052,89,1,357138.89
131,1052,41,2,594803.22
132,1052,73,3,79507.17
133,1053,52,3,1263353.4
134,1053,59,2,809838.6
135,1053,54,3,247981.86
136,1053,35,1,146658.23
137,1054,27,3,526392.36
138,1054,87,2,929869.44
139,1055,34,2,288754.26
140,1055,20,1,447956.17
141,1055,60,3,867650.49
142,1056,66,2,870558.56
143,1056,90,1,163599.17
144,1056,33,2,301425.18
145,1057,74,1,225942.4
146,1057,6,3,956677.65
147,1057,83,1,471870.33
148,1057,37,3,728103.69
149,1058,59,3,1214757.9
150,1058,32,2,690929.8
151,1058,94,3,1188869.82
152,1058,51,3,251116.59
153,1059,28,1,262987.26
154,1060,95,3,1675695.03
155,1060,55,3,690544.23
156,1060,9,3,757333.8
157,1061,24,1,348989.2
158,1061,96,1,184195.58
159,1061,64,2,561351.54
160,1062,10,1,230059.91
161,1062,28,1,262987.26
162,1062,83,3,1415610.99
163,1063,50,2,1136387.9
164,1064,61,1,628712.8
165,1065,81,1,471437.83
166,1066,17,2,124096.72
167,1066,49,3,1302523.92
168,1067,46,2,619697.6
169,1068,47,2,659338.18
170,1069,29,2,516759.64
171,1069,96,2,368391.16
172,1069,27,1,175464.12
173,1069,9,1,252444.6
174,1070,95,2,1117130.02
175,1071,24,1,348989.2
176,1071,97,3,1274357.46
177,1071,81,3,1414313.49
178,1071,66,1,435279.28
179,1072,1,3,783916.2
180,1072,28,3,788961.78
181,1072,72,1,668003.98
182,1073,32,3,1036394.7
183,1073,34,2,288754.26
184,1073,67,3,596037.36
185,1074,98,2,178309.62
186,1074,48,3,420159.51
187,1075,35,3,439974.69
188,1075,84,2,268394.38
189,1075,11,1,404310.92
190,1075,88,3,326210.22
191,1076,39,2,309498.64
192,1076,4,2,423680.44
193,1077,25,3,727727.37
194,1077,73,2,53004.78
195,1077,78,2,717984.38
196,1078,96,3,552586.74
197,1078,36,3,1068158.91
198,1078,34,1,144377.13
199,1079,93,2,1336285.4
200,1079,22,3,1041083.85
201,1079,78,3,1076976.57
202,1079,26,3,1684583.58
203,1080,18,1,476485.28
204,1080,20,2,895912.34
205,1080,100,3,549623.37
206,1080,82,3,379251.33
207,1081,100,2,366415.58
208,1081,62,3,1327859.01
209,1082,1,3,783916.2
210,1082,80,2,274808.54
211,1083,30,2,202489.24
212,1083,7,3,1799919.42
213,1083,94,1,396289.94
214,1083,41,3,892204.83
215,1084,21,2,674857.32
216,1084,88,2,217473.48
217,1084,92,3,291500.19
218,1084,17,1,62048.36
219,1085,56,1,227697.6
220,1085,9,3,757333.8
221,1086,81,1,471437.83
222,1087,25,1,242575.79
223,1087,63,2,422493.48
224,1087,88,2,217473.48
225,1088,78,3,1076976.57
226,1088,1,2,522610.8
227,1088,15,1,165734.73
228,1088,53,3,1267035.24
229,1089,94,1,396289.94
230,1089,3,2,322930.6
231,1090,34,2,288754.26
232,1090,4,2,423680.44
233,1090,65,1,411230.55
234,1091,39,2,309498.64
235,1091,93,1,668142.7
236,1091,89,1,357138.89
237,1091,98,3,267464.43
238,1092,74,3,677827.2
239,1093,57,1,435781.16
240,1094,22,3,1041083.85
241,1094,46,1,309848.8
242,1094,21,3,1012285.98
243,1095,81,2,942875.66
244,1095,59,3,1214757.9
245,1095,15,2,331469.46
246,1096,1,2,522610.8
247,1096,3,3,484395.9
248,1096,13,3,1449786.84
249,1097,54,1,82660.62
250,1097,61,2,1257425.6
251,1097,51,1,83705.53
252,1097,77,1,258391.07
253,1098,28,3,788961.78
254,1098,25,3,727727.37
255,1099,52,2,842235.6
256,1100,80,3,412212.81
257,1100,46,2,619697.6
258,1100,15,2,331469.46
259,1100,70,2,735081.96
260,1101,79,2,279586.14
261,1102,8,1,45489.79
262,1102,64,1,280675.77
263,1103,36,3,1068158.91
264,1103,8,1,45489.79
265,1104,85,1,65955.8
266,1104,41,2,594803.22
267,1104,79,1,139793.07
268,1104,90,3,490797.51
269,1105,78,1,358992.19
270,1105,20,1,447956.17
271,1105,9,1,252444.6
