id_transaccion,id_local,id_cliente,fecha_venta,monto_total,tipo_pago,cantidad_cuotas
1001,2,79,07/11/2025,288754.26,CREDITO TIENDA,12
1002,11,457,2025-04-26,953970.1, debito ,1
1003,9,161,2025-09-11,1426004.64,Credito Tienda,12
1004,16,803,2025-10-02,596037.36,Credito Tienda,12
1005,14,1365,2025-04-01,2050019.91, debito ,1
1006,2,1243,2025-03-09,397358.24,CREDITO TIENDA,24
1007,7,1606,2025-02-09,2815561.89,CREDITO TIENDA,6
1008,12,1812,2025-05-19,1129902.67,Efectivo,1
1009,9,1164,2025-01-03,2683132.32,Debito,1
1010,3,44,2025-10-11,1286707.48,Efectivo,1
1011,4,1926,2025-12-05,1358470.45,Debito,1
1012,4,371,2025-03-03,1799679.8,Efectivo,1
1013,14,400,12-09-2025,3603605.92,CREDITO TIENDA,3
1014,11,746,2025-07-25,1464511.92, debito ,1
1015,7,1548,04/09/2025,856483.07, debito ,1
1016,7,1805,2025-10-28,379251.33, debito ,1
1017,15,1872,2025-04-03,1850198.43,Debito,1
1018,5,9999,2025-04-09,460119.82,Efectivo,1
1019,7,1838,2025-04-10,351437.97,Debito,1
1020,5,263,2025-07-01,1072295.51,Credito Tienda,3
1021,13,1265,25/02/2025,1774071.56,Efectivo,1
1022,3,429,10/09/2025,140053.17,Debito,1
1023,4,735,2025-06-07,1201002.81,CREDITO TIENDA,12
1024,5,196,07-10-2025,2067614.14,CREDITO TIENDA,24
1025,16,354,2025-12-01,2061881.85,Efectivo,1
1026,3,1113,27-12-2025,1194518.67, debito ,1
1027,10,985,18 mayo 25,1698529.29,CREDITO TIENDA,24
1028,13,496,04/03/2025,2069016.2, debito ,1
1029,1,9999,2025-12-12,2083257.64,Debito,1
1030,8,641,2025-02-19,1842991.37,Debito,1
1031,11,1098,2025-06-05,1746267.8, debito ,1
1032,3,1427,18-08-2025,2717055.55,Efectivo,1
1033,12,287,2025-07-05,1868820.05, debito ,1
